"","Bulan","Oleh_Curah_Hujan","Oleh_Jagung_Sendiri","Oleh_Ayam"
"1",1,1.87673243150567,98.1232675684943,0
"2",2,3.04260830078607,96.8740814132891,0.0833102859248176
"3",3,6.97299957691042,92.6140308935276,0.412969529562015
"4",4,11.6945955504852,87.5161110836028,0.789293365911943
"5",5,15.2591748947541,83.6300416101531,1.11078349509275
"6",6,17.4234097803191,81.1941020669839,1.38248815269698
"7",7,18.5990261246858,79.787452028947,1.61352184636714
"8",8,19.1885161203684,79.0080131218769,1.8034707577548
"9",9,19.4611711157077,78.5869080844488,1.95192079984343
"10",10,19.575915791447,78.3615860554342,2.06249815311881
"11",11,19.6185880715915,78.2396749271233,2.14173700128515
"12",12,19.6314990333547,78.1716100266063,2.19689094003902
