"","Bulan","Oleh_Curah_Hujan","Oleh_Jagung","Oleh_Ayam_Sendiri"
"1",1,0.984642419161542,2.50470077269527,96.5106568081432
"2",2,3.64375335642343,3.30333937824801,93.0529072653285
"3",3,5.16628732627852,2.96824008193233,91.8654725917891
"4",4,5.70205785079667,2.64973193517797,91.6482102140254
"5",5,5.88469721566214,2.45037122380092,91.6649315605369
"6",6,5.99258143850224,2.32764249639623,91.6797760651015
"7",7,6.09402124105018,2.25276799688434,91.6532107620655
"8",8,6.19278816361285,2.20927531949462,91.5979365168925
"9",9,6.28186205559417,2.18553465118385,91.532603293222
"10",10,6.35676763934594,2.17319386335741,91.4700384972966
"11",11,6.41646703593741,2.16691172261472,91.4166212414478
"12",12,6.46205426944301,2.16365161485556,91.3742941157014
